"Cód.","Município","2019"
"1304203","Tefé (AM)","1022967"
"1304237","Tonantins (AM)","147639"
"1304260","Uarini (AM)","198161"
"1304302","Urucará (AM)","303914"
"1304401","Urucurituba (AM)","184017"
"1400027","Amajari (RR)","187546"
"1400050","Alto Alegre (RR)","315398"
"1400100","Boa Vista (RR)","10571980"
"1400159","Bonfim (RR)","337915"
"1400175","Cantá (RR)","293041"
"1400209","Caracaraí (RR)","377975"
"1400233","Caroebe (RR)","199390"
"1400282","Iracema (RR)","162279"
"1400308","Mucajaí (RR)","319301"
"1400407","Normandia (RR)","178802"
"1400456","Pacaraima (RR)","259024"
"1400472","Rorainópolis (RR)","611056"
"1400506","São João da Baliza (RR)","209231"
"1400605","São Luiz (RR)","147628"
"1400704","Uiramutã (RR)","121662"
"1500107","Abaetetuba (PA)","1494985"
"1500131","Abel Figueiredo (PA)","85169"
"1500206","Acará (PA)","757480"
"1500305","Afuá (PA)","370459"
"1500347","Água Azul do Norte (PA)","434588"
"1500404","Alenquer (PA)","571525"
"1500503","Almeirim (PA)","544875"
"1500602","Altamira (PA)","2778920"
"1500701","Anajás (PA)","214508"
"1500800","Ananindeua (PA)","8165793"
"1500859","Anapu (PA)","416308"
"1500909","Augusto Corrêa (PA)","326463"
"1500958","Aurora do Pará (PA)","221603"
"1501006","Aveiro (PA)","123619"
"1501105","Bagre (PA)","203892"
"1501204","Baião (PA)","474768"
"1501253","Bannach (PA)","81192"
"1501303","Barcarena (PA)","5369310"
"1501402","Belém (PA)","32405323"
"1501451","Belterra (PA)","164295"
"1501501","Benevides (PA)","1560562"
"1501576","Bom Jesus do Tocantins (PA)","174617"
"1501600","Bonito (PA)","160242"
"1501709","Bragança (PA)","1164844"
"1501725","Brasil Novo (PA)","277024"
"1501758","Brejo Grande do Araguaia (PA)","81835"
"1501782","Breu Branco (PA)","601988"
"1501808","Breves (PA)","809323"
"1501907","Bujaru (PA)","414517"
"1501956","Cachoeira do Piriá (PA)","183469"
"1502004","Cachoeira do Arari (PA)","193879"
"1502103","Cametá (PA)","1150930"
"1502152","Canaã dos Carajás (PA)","10710595"
"1502202","Capanema (PA)","1107441"
"1502301","Capitão Poço (PA)","679266"
"1502400","Castanhal (PA)","4040635"
"1502509","Chaves (PA)","195354"
"1502608","Colares (PA)","85250"
"1502707","Conceição do Araguaia (PA)","549078"
"1502756","Concórdia do Pará (PA)","293446"
"1502764","Cumaru do Norte (PA)","287185"
"1502772","Curionópolis (PA)","944530"
"1502806","Curralinho (PA)","254633"
"1502855","Curuá (PA)","130093"
"1502905","Curuçá (PA)","290924"
"1502939","Dom Eliseu (PA)","629324"
"1502954","Eldorado do Carajás (PA)","415872"
"1503002","Faro (PA)","58348"
"1503044","Floresta do Araguaia (PA)","273289"
"1503077","Garrafão do Norte (PA)","225172"
"1503093","Goianésia do Pará (PA)","348125"
"1503101","Gurupá (PA)","271950"
"1503200","Igarapé-Açu (PA)","347116"
"1503309","Igarapé-Miri (PA)","521728"
"1503408","Inhangapi (PA)","120139"
"1503457","Ipixuna do Pará (PA)","578056"
"1503507","Irituia (PA)","221162"
"1503606","Itaituba (PA)","2046616"
"1503705","Itupiranga (PA)","581801"
"1503754","Jacareacanga (PA)","526086"
"1503804","Jacundá (PA)","489517"
"1503903","Juruti (PA)","1207211"
"1504000","Limoeiro do Ajuru (PA)","424661"
"1504059","Mãe do Rio (PA)","292628"
"1504109","Magalhães Barata (PA)","74304"
"1504208","Marabá (PA)","11417650"
"1504307","Maracanã (PA)","229127"
"1504406","Marapanim (PA)","213436"
"1504422","Marituba (PA)","1932710"
"1504455","Medicilândia (PA)","655466"
"1504505","Melgaço (PA)","181091"
"1504604","Mocajuba (PA)","380344"
"1504703","Moju (PA)","818858"
"1504752","Mojuí dos Campos (PA)","171488"
"1504802","Monte Alegre (PA)","624755"
"1504901","Muaná (PA)","259276"
"1504950","Nova Esperança do Piriá (PA)","209132"
"1504976","Nova Ipixuna (PA)","158816"
"1505007","Nova Timboteua (PA)","116213"
"1505031","Novo Progresso (PA)","700091"
"1505064","Novo Repartimento (PA)","833419"
"1505106","Óbidos (PA)","979070"
"1505205","Oeiras do Pará (PA)","363771"
"1505304","Oriximiná (PA)","2087921"
"1505403","Ourém (PA)","185857"
"1505437","Ourilândia do Norte (PA)","635604"
"1505486","Pacajá (PA)","678532"
"1505494","Palestina do Pará (PA)","72486"
"1505502","Paragominas (PA)","3136001"
"1505536","Parauapebas (PA)","23035847"
"1505551","Pau D'Arco (PA)","89237"
"1505601","Peixe-Boi (PA)","53926"
"1505635","Piçarra (PA)","212344"
"1505650","Placas (PA)","259230"
"1505700","Ponta de Pedras (PA)","222251"
"1505809","Portel (PA)","788181"
"1505908","Porto de Moz (PA)","322595"
"1506005","Prainha (PA)","293716"
"1506104","Primavera (PA)","237431"
"1506112","Quatipuru (PA)","100238"
"1506138","Redenção (PA)","1867763"
"1506161","Rio Maria (PA)","495741"
"1506187","Rondon do Pará (PA)","534711"
"1506195","Rurópolis (PA)","376324"
"1506203","Salinópolis (PA)","532188"
"1506302","Salvaterra (PA)","180643"
"1506351","Santa Bárbara do Pará (PA)","181391"
"1506401","Santa Cruz do Arari (PA)","71848"
"1506500","Santa Izabel do Pará (PA)","796709"
"1506559","Santa Luzia do Pará (PA)","161038"
"1506583","Santa Maria das Barreiras (PA)","499466"
"1506609","Santa Maria do Pará (PA)","291669"
"1506708","Santana do Araguaia (PA)","1036055"
"1506807","Santarém (PA)","5126172"
"1506906","Santarém Novo (PA)","45343"
"1507003","Santo Antônio do Tauá (PA)","385919"
"1507102","São Caetano de Odivelas (PA)","145761"
"1507151","São Domingos do Araguaia (PA)","285259"
"1507201","São Domingos do Capim (PA)","346817"
"1507300","São Félix do Xingu (PA)","1450327"
"1507409","São Francisco do Pará (PA)","240873"
"1507458","São Geraldo do Araguaia (PA)","521744"
"1507466","São João da Ponta (PA)","46628"
"1507474","São João de Pirabas (PA)","169548"
"1507508","São João do Araguaia (PA)","134015"
"1507607","São Miguel do Guamá (PA)","631773"
"1507706","São Sebastião da Boa Vista (PA)","205087"
"1507755","Sapucaia (PA)","106318"
"1507805","Senador José Porfírio (PA)","163414"
"1507904","Soure (PA)","197890"
"1507953","Tailândia (PA)","951254"
"1507961","Terra Alta (PA)","71606"
"1507979","Terra Santa (PA)","464655"
"1508001","Tomé-Açu (PA)","713215"
"1508035","Tracuateua (PA)","232494"
"1508050","Trairão (PA)","286791"
"1508084","Tucumã (PA)","827871"
"1508100","Tucuruí (PA)","5318264"
"1508126","Ulianópolis (PA)","1590909"
"1508159","Uruará (PA)","610827"
"1508209","Vigia (PA)","388468"
"1508308","Viseu (PA)","491156"
"1508357","Vitória do Xingu (PA)","4051017"
"1508407","Xinguara (PA)","1294077"
"1600055","Serra do Navio (AP)","72869"
"1600105","Amapá (AP)","156504"
"1600154","Pedra Branca do Amapari (AP)","333246"
"1600204","Calçoene (AP)","163463"
"1600212","Cutias (AP)","82037"
"1600238","Ferreira Gomes (AP)","494386"
"1600253","Itaubal (AP)","74933"
"1600279","Laranjal do Jari (AP)","970378"
"1600303","Macapá (AP)","11434726"
"1600402","Mazagão (AP)","290136"
"1600501","Oiapoque (AP)","460644"
"1600535","Porto Grande (AP)","338260"
"1600550","Pracuúba (AP)","71659"
"1600600","Santana (AP)","2125735"
"1600709","Tartarugalzinho (AP)","231685"
"1600808","Vitória do Jari (AP)","196000"
"1700251","Abreulândia (TO)","53932"
"1700301","Aguiarnópolis (TO)","162878"
"1700350","Aliança do Tocantins (TO)","109341"
"1700400","Almas (TO)","171908"
"1700707","Alvorada (TO)","335011"
"1701002","Ananás (TO)","148448"
"1701051","Angico (TO)","38891"
"1701101","Aparecida do Rio Negro (TO)","127070"
"1701309","Aragominas (TO)","67881"
"1701903","Araguacema (TO)","143547"
"1702000","Araguaçu (TO)","449448"
"1702109","Araguaína (TO)","4710555"
"1702158","Araguanã (TO)","69802"
"1702208","Araguatins (TO)","446449"
"1702307","Arapoema (TO)","179081"
"1702406","Arraias (TO)","208988"
"1702554","Augustinópolis (TO)","280534"
"1702703","Aurora do Tocantins (TO)","46879"
"1702901","Axixá do Tocantins (TO)","133247"
"1703008","Babaçulândia (TO)","112240"
"1703057","Bandeirantes do Tocantins (TO)","103133"
"1703073","Barra do Ouro (TO)","57835"
"1703107","Barrolândia (TO)","95659"
"1703206","Bernardo Sayão (TO)","75467"
"1703305","Bom Jesus do Tocantins (TO)","123267"
"1703602","Brasilândia do Tocantins (TO)","43680"
"1703701","Brejinho de Nazaré (TO)","170056"
"1703800","Buriti do Tocantins (TO)","108195"
"1703826","Cachoeirinha (TO)","29532"
"1703842","Campos Lindos (TO)","333989"
"1703867","Cariri do Tocantins (TO)","364639"
"1703883","Carmolândia (TO)","41443"
"1703891","Carrasco Bonito (TO)","43325"
"1703909","Caseara (TO)","168353"
"1704105","Centenário (TO)","42480"
"1704600","Chapada de Areia (TO)","24102"
"1705102","Chapada da Natividade (TO)","68791"
"1705508","Colinas do Tocantins (TO)","798789"
"1705557","Combinado (TO)","73776"
"1705607","Conceição do Tocantins (TO)","57995"
"1706001","Couto Magalhães (TO)","97437"
"1706100","Cristalândia (TO)","124663"
"1706258","Crixás do Tocantins (TO)","48421"
"1706506","Darcinópolis (TO)","228367"
"1707009","Dianópolis (TO)","446106"
"1707108","Divinópolis do Tocantins (TO)","122633"
"1707207","Dois Irmãos do Tocantins (TO)","108139"
"1707306","Dueré (TO)","127024"
"1707405","Esperantina (TO)","98584"
"1707553","Fátima (TO)","78282"
"1707652","Figueirópolis (TO)","183628"
"1707702","Filadélfia (TO)","111413"
"1708205","Formoso do Araguaia (TO)","365806"
"1708254","Fortaleza do Tabocão (TO)","200088"
"1708304","Goianorte (TO)","81032"
"1709005","Goiatins (TO)","157725"
"1709302","Guaraí (TO)","697645"
"1709500","Gurupi (TO)","2325923"
"1709807","Ipueiras (TO)","33083"
"1710508","Itacajá (TO)","108959"
"1710706","Itaguatins (TO)","68607"
