"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"110001 Alta Floresta D'Oeste",0,0,4,0,0,0,0,0,1,5
"110037 Alto Alegre dos Parecis",0,0,1,0,0,0,0,0,0,1
"110040 Alto Paraíso",0,0,3,0,0,0,0,0,2,5
"110034 Alvorada D'Oeste",0,0,1,0,2,0,0,0,1,4
"110002 Ariquemes",5,1,9,0,9,0,0,1,1,26
"110045 Buritis",0,0,5,0,0,0,0,0,1,6
"110003 Cabixi",0,0,1,0,0,0,0,0,0,1
"110004 Cacoal",15,9,28,0,9,1,2,0,3,67
"110070 Campo Novo de Rondônia",0,0,0,0,1,0,0,0,0,1
"110080 Candeias do Jamari",0,0,2,0,2,0,0,0,1,5
"110090 Castanheiras",0,0,0,0,1,0,0,0,0,1
"110005 Cerejeiras",1,0,0,0,0,1,0,0,0,2
"110006 Colorado do Oeste",0,0,2,0,0,0,0,0,0,2
"110008 Costa Marques",0,0,1,0,0,0,0,0,0,1
"110094 Cujubim",0,0,1,0,0,0,0,0,1,2
"110009 Espigão D'Oeste",0,0,3,0,1,0,0,0,1,5
"110010 Guajará0Mirim",0,0,0,0,1,0,0,0,0,1
"110110 Itapuã do Oeste",0,0,1,0,0,0,0,0,0,1
"110011 Jaru",1,0,3,0,3,0,3,0,6,16
"110012 Ji0Paraná",6,0,3,0,2,0,0,0,12,23
"110013 Machadinho D'Oeste",1,0,10,0,0,0,0,0,1,12
"110130 Mirante da Serra",0,0,1,0,0,0,0,0,0,1
"110140 Monte Negro",1,0,0,0,0,0,0,0,0,1
"110014 Nova Brasilândia D'Oeste",0,0,1,0,0,0,0,0,0,1
"110033 Nova Mamoré",0,1,2,0,0,1,0,0,0,4
"110015 Ouro Preto do Oeste",1,0,6,0,1,0,0,0,3,11
"110018 Pimenta Bueno",0,0,1,0,3,0,1,0,0,5
"110020 Porto Velho",12,7,42,1,17,1,6,0,20,106
"110025 Presidente Médici",0,0,1,0,0,0,0,0,1,2
"110028 Rolim de Moura",0,0,1,0,2,0,0,0,5,8
"110149 São Francisco do Guaporé",0,1,4,0,1,0,0,0,1,7
"110032 São Miguel do Guaporé",0,0,1,0,0,0,0,0,0,1
"110150 Seringueiras",0,0,2,0,1,0,0,0,0,3
"110170 Urupá",0,0,2,0,0,1,0,0,0,3
"110175 Vale do Anari",0,0,2,0,0,0,0,0,0,2
"110180 Vale do Paraíso",0,0,1,0,0,0,0,0,0,1
"110030 Vilhena",4,1,15,0,7,1,6,1,1,36
"120001 Acrelândia",0,0,0,0,0,0,0,0,2,2
"120010 Brasiléia",0,1,0,0,2,0,0,0,4,7
"120013 Bujari",0,0,1,0,0,0,0,0,0,1
"120017 Capixaba",0,0,0,0,0,0,0,0,1,1
"120020 Cruzeiro do Sul",5,0,7,0,1,0,1,1,0,15
"120030 Feijó",0,0,3,0,0,0,0,0,1,4
"120032 Jordão",0,0,1,0,0,0,0,0,0,1
"120033 Mâncio Lima",0,0,1,0,0,0,0,0,0,1
"120038 Plácido de Castro",0,0,1,0,0,0,0,0,3,4
"120040 Rio Branco",7,5,17,0,1,1,0,0,34,65
"120042 Rodrigues Alves",0,0,1,0,0,0,0,0,0,1
"120045 Senador Guiomard",0,0,0,0,1,0,0,0,3,4
"120060 Tarauacá",2,0,0,0,1,0,0,0,0,3
"120070 Xapuri",0,0,0,0,0,0,0,0,3,3
"130014 Apuí",1,0,4,0,0,0,0,0,0,5
"130030 Autazes",0,1,2,0,0,0,0,0,0,3
"130070 Boca do Acre",2,0,4,0,1,0,0,0,0,7
"130080 Borba",0,0,2,0,0,0,0,0,0,2
"130090 Canutama",0,0,0,0,0,0,1,0,0,1
"130100 Carauari",0,0,1,0,0,0,0,0,0,1
"130115 Careiro da Várzea",1,0,0,0,0,0,0,0,0,1
"130120 Coari",0,0,4,0,0,0,0,0,0,4
"130140 Eirunepé",0,0,1,0,0,0,0,0,0,1
"130150 Envira",1,0,1,0,0,0,0,0,0,2
"130170 Humaitá",0,0,2,0,1,1,1,0,0,5
"130180 Ipixuna",0,0,2,0,0,0,0,0,0,2
"130185 Iranduba",1,0,5,0,0,0,0,0,2,8
"130190 Itacoatiara",0,1,6,0,3,0,0,0,0,10
"130200 Itapiranga",0,0,0,0,1,0,0,0,0,1
"130240 Lábrea",0,0,7,0,0,0,1,0,0,8
"130250 Manacapuru",1,0,2,0,1,0,0,0,3,7
"130260 Manaus",96,5,117,0,31,1,0,1,25,276
"130270 Manicoré",0,1,0,0,1,0,0,0,1,3
"130290 Maués",0,1,3,0,0,0,0,0,1,5
"130320 Novo Airão",0,0,2,0,0,0,0,0,1,3
"130330 Novo Aripuanã",0,0,1,0,1,0,0,0,0,2
"130340 Parintins",2,0,5,0,2,0,0,0,1,10
"130350 Pauini",0,0,0,0,0,0,0,0,1,1
"130353 Presidente Figueiredo",1,1,2,0,4,0,0,0,0,8
"130356 Rio Preto da Eva",1,0,7,0,0,2,0,0,0,10
"130380 São Gabriel da Cachoeira",3,0,3,0,0,0,0,0,0,6
"130390 São Paulo de Olivença",0,0,1,0,0,0,0,0,0,1
"130406 Tabatinga",1,0,2,0,0,0,0,0,1,4
"130420 Tefé",1,0,0,0,0,0,0,0,0,1
"140005 Alto Alegre",0,0,3,0,1,0,0,0,2,6
"140002 Amajari",1,0,0,0,0,0,0,0,0,1
"140010 Boa Vista",4,2,20,0,23,0,0,0,28,77
"140015 Bonfim",1,1,2,0,3,0,0,0,0,7
"140017 Cantá",0,0,0,0,1,0,0,0,2,3
"140020 Caracaraí",1,0,0,0,1,0,0,0,0,2
"140023 Caroebe",1,0,1,0,0,0,0,0,0,2
"140030 Mucajaí",0,0,4,0,0,0,0,0,0,4
"140040 Normandia",0,0,3,0,0,0,0,0,0,3
"140045 Pacaraima",2,0,2,0,1,0,0,0,0,5
"140047 Rorainópolis",3,0,3,0,1,0,0,0,0,7
"140050 São João da Baliza",1,0,1,0,0,0,0,0,0,2
"140060 São Luiz",0,0,2,0,0,0,0,0,1,3
"140070 Uiramutã",1,0,0,0,0,0,0,0,0,1
"150010 Abaetetuba",1,1,0,0,0,0,0,0,7,9
"150013 Abel Figueiredo",0,0,1,0,2,0,0,0,3,6
"150020 Acará",2,0,0,0,0,0,0,0,7,9
"150034 Água Azul do Norte",0,0,3,0,0,0,0,0,2,5
"150040 Alenquer",0,0,1,0,0,0,0,0,0,1
"150060 Altamira",1,0,29,0,1,0,0,0,9,40
"150070 Anajás",0,0,1,0,0,0,0,0,0,1
"150080 Ananindeua",47,2,41,0,1,0,1,1,115,208
"150085 Anapu",0,0,8,0,0,0,0,0,1,9
"150095 Aurora do Pará",0,0,0,0,1,0,0,0,3,4
