"Município";"Quantidade_existente"
"251120 Pedras de Fogo";47
"251130 Piancó";86
"251140 Picuí";100
"251150 Pilar";19
"251200 Pocinhos";50
"251210 Pombal";94
"251230 Princesa Isabel";55
"251250 Queimadas";36
"251280 Riacho dos Cavalos";8
"251320 Santa Cruz";13
"251335 Santa Inês";10
"251340 Santa Luzia";36
"251370 Santa Rita";264
"251385 Santo André";6
"251390 São Bento";47
"250070 São João do Rio do Peixe";28
"251420 São José da Lagoa Tapada";3
"251430 São José de Caiana";15
"251450 São José de Piranhas";17
"251490 São Mamede";26
"251540 São Vicente do Seridó";24
"251530 Sapé";78
"251550 Serra Branca";58
"251570 Serra Grande";12
"251590 Serraria";7
"251600 Solânea";34
"251610 Soledade";22
"251620 Sousa";159
"251630 Sumé";41
"251650 Taperoá";52
"251660 Tavares";23
"251670 Teixeira";39
"251690 Uiraúna";47
"260005 Abreu e Lima";269
"260010 Afogados da Ingazeira";140
"260020 Afrânio";54
"260030 Agrestina";123
"260040 Água Preta";50
"260050 Águas Belas";52
"260060 Alagoinha";24
"260070 Aliança";26
"260080 Altinho";24
"260090 Amaraji";31
"260100 Angelim";12
"260105 Araçoiaba";3
"260110 Araripina";226
"260120 Arcoverde";170
"260130 Barra de Guabiraba";15
"260140 Barreiros";95
"260150 Belém de Maria";9
"260160 Belém do São Francisco";29
"260170 Belo Jardim";95
"260180 Betânia";28
"260190 Bezerros";172
"260200 Bodocó";24
"260210 Bom Conselho";53
"260220 Bom Jardim";33
"260230 Bonito";52
"260240 Brejão";16
"260250 Brejinho";11
"260260 Brejo da Madre de Deus";60
"260270 Buenos Aires";17
"260280 Buíque";57
"260290 Cabo de Santo Agostinho";501
"260300 Cabrobó";64
"260310 Cachoeirinha";26
"260320 Caetés";40
"260330 Calçado";17
"260340 Calumbi";17
"260345 Camaragibe";441
"260350 Camocim de São Félix";19
"260360 Camutanga";12
"260370 Canhotinho";32
"260380 Capoeiras";40
"260390 Carnaíba";25
"260392 Carnaubeira da Penha";11
"260400 Carpina";114
"260410 Caruaru";884
"260415 Casinhas";35
"260420 Catende";27
"260430 Cedro";18
"260440 Chã de Alegria";19
"260450 Chã Grande";40
"260460 Condado";21
"260470 Correntes";29
"260480 Cortês";39
"260490 Cumaru";21
"260500 Cupira";20
"260510 Custódia";87
"260515 Dormentes";27
"260520 Escada";83
"260530 Exu";42
"260540 Feira Nova";28
"260545 Fernando de Noronha";17
"260560 Flores";33
"260570 Floresta";71
"260580 Frei Miguelinho";11
"260590 Gameleira";23
"260600 Garanhuns";383
"260610 Glória do Goitá";55
"260620 Goiana";182
"260630 Granito";19
"260640 Gravatá";98
"260650 Iati";22
"260660 Ibimirim";26
"260670 Ibirajuba";20
"260680 Igarassu";344
"260690 Iguaracy";22
"260760 Ilha de Itamaracá";14
"260700 Inajá";13
"260710 Ingazeira";4
"260720 Ipojuca";65
"260730 Ipubi";45
"260740 Itacuruba";15
"260750 Itaíba";34
"260765 Itambé";42
"260770 Itapetim";32
"260775 Itapissuma";6
"260780 Itaquitinga";14
"260790 Jaboatão dos Guararapes";879
"260795 Jaqueira";32
"260800 Jataúba";19
"260805 Jatobá";23
"260810 João Alfredo";33
"260820 Joaquim Nabuco";14
"260825 Jucati";18
"260830 Jupi";16
"260840 Jurema";27
"260850 Lagoa de Itaenga";27
"260845 Lagoa do Carro";13
"260860 Lagoa do Ouro";33
"260870 Lagoa dos Gatos";17
"260875 Lagoa Grande";31
"260880 Lajedo";41
"260890 Limoeiro";147
"260900 Macaparana";52
"260910 Machados";15
"260915 Manari";27
"260920 Maraial";13
"260930 Mirandiba";9
"261430 Moreilândia";11
"260940 Moreno";135
"260950 Nazaré da Mata";40
"260960 Olinda";605
"260970 Orobó";32
"260980 Orocó";17
"260990 Ouricuri";113
"261000 Palmares";304
"261010 Palmeirina";14
"261020 Panelas";26
"261030 Paranatama";33
"261040 Parnamirim";40
"261050 Passira";39
"261060 Paudalho";141
"261070 Paulista";468
"261080 Pedra";30
"261090 Pesqueira";171
"261100 Petrolândia";112
"261110 Petrolina";906
"261120 Poção";15
"261130 Pombos";35
"261140 Primavera";4
"261150 Quipapá";25
"261160 Recife";8735
"261170 Riacho das Almas";38
"261180 Ribeirão";38
"261190 Rio Formoso";16
"261200 Sairé";10
"261210 Salgadinho";5
"261220 Salgueiro";257
"261230 Saloá";30
"261240 Sanharó";14
"261245 Santa Cruz";24
"261247 Santa Cruz da Baixa Verde";21
"261250 Santa Cruz do Capibaribe";141
"261255 Santa Filomena";17
"261260 Santa Maria da Boa Vista";29
"261280 Santa Terezinha";19
"261290 São Benedito do Sul";28
"261300 São Bento do Una";46
"261310 São Caitano";30
"261320 São João";31
"261330 São Joaquim do Monte";34
"261340 São José da Coroa Grande";26
"261350 São José do Belmonte";33
"261360 São José do Egito";90
"261370 São Lourenço da Mata";97
"261380 São Vicente Ferrer";29
"261390 Serra Talhada";495
"261400 Serrita";32
"261410 Sertânia";73
"261420 Sirinhaém";26
"261440 Solidão";16
"261450 Surubim";203
"261460 Tabira";69
"261480 Tacaratu";21
"261485 Tamandaré";16
"261500 Taquaritinga do Norte";56
"261510 Terezinha";12
"261520 Terra Nova";11
"261530 Timbaúba";137
"261540 Toritama";44
"261550 Tracunhaém";11
"261560 Trindade";73
"261570 Triunfo";18
"261580 Tupanatinga";21
"261590 Tuparetama";39
"261600 Venturosa";24
"261610 Verdejante";15
"261618 Vertente do Lério";4
"261620 Vertentes";40
"261630 Vicência";40
"261640 Vitória de Santo Antão";408
"261650 Xexéu";14
"270010 Água Branca";25
"270020 Anadia";25
"270030 Arapiraca";1043
"270040 Atalaia";44
"270070 Batalha";35
"270100 Boca da Mata";14
"270120 Cacimbinhas";3
"270130 Cajueiro";26
"270140 Campo Alegre";77
"270170 Capela";70
"270210 Colônia Leopoldina";33
"270230 Coruripe";274
"270235 Craíbas";8
"270240 Delmiro Gouveia";44
"270280 Flexeiras";15
"270290 Girau do Ponciano";48
"270300 Ibateguara";3
"270310 Igaci";14
"270380 Joaquim Gomes";50
"270400 Junqueiro";35
"270410 Lagoa da Canoa";3
"270420 Limoeiro de Anadia";14
"270430 Maceió";3182
"270440 Major Isidoro";32
"270450 Maragogi";4
"270470 Marechal Deodoro";3
"270500 Mata Grande";36
"270510 Matriz de Camaragibe";24
"270550 Murici";53
"270570 Olho d'Água das Flores";47
"270630 Palmeira dos Índios";136
"270640 Pão de Açúcar";52
"270660 Paulo Jacinto";16
"270670 Penedo";109
"270680 Piaçabuçu";18
"270690 Pilar";50
"270710 Piranhas";42
"270730 Porto Calvo";90
"270760 Quebrangulo";28
"270770 Rio Largo";81
"270800 Santana do Ipanema";96
"270820 São Brás";3
"270830 São José da Laje";70
"270840 São José da Tapera";20
"270850 São Luís do Quitunde";27
"270860 São Miguel dos Campos";124
"270880 São Sebastião";6
"270910 Taquarana";1
"270915 Teotônio Vilela";61
"270920 Traipu";9
"270930 União dos Palmares";168
"270940 Viçosa";40
"280020 Aquidabã";32
"280030 Aracaju";2177
"280067 Boquim";18
"280120 Canindé de São Francisco";27
"280130 Capela";65
"280140 Carira";1
"280210 Estância";189
"280230 Frei Paulo";1
"280290 Itabaiana";177
"280300 Itabaianinha";45
"280340 Japoatã";21
"280350 Lagarto";202
"280360 Laranjeiras";1
"280420 Monte Alegre de Sergipe";7
"280440 Neópolis";25
"280450 Nossa Senhora da Glória";37
"280480 Nossa Senhora do Socorro";48
"280540 Poço Redondo";18
"280550 Poço Verde";12
"280560 Porto da Folha";18
"280570 Propriá";49
"280580 Riachão do Dantas";1
"280590 Riachuelo";56
"280610 Rosário do Catete";14
"280670 São Cristóvão";31
"280710 Simão Dias";17
"280760 Umbaúba";4
"290010 Abaíra";9
"290020 Abaré";24
"290030 Acajutiba";8
"290035 Adustina";19
"290040 Água Fria";20
"290060 Aiquara";13
"290070 Alagoinhas";221
"290080 Alcobaça";59
"290100 Amargosa";57
"290110 Amélia Rodrigues";16
"290115 América Dourada";26
"290120 Anagé";33
"290130 Andaraí";32
"290135 Andorinha";6
"290140 Angical";6
"290150 Anguera";6
"290160 Antas";142
"290190 Aporá";1
"290205 Araças";23
"290200 Aracatu";41
"290210 Araci";48
"290240 Aurelino Leal";40
"290250 Baianópolis";28
"290260 Baixa Grande";36
"290270 Barra";83
"290280 Barra da Estiva";84
"290290 Barra do Choça";32
"290300 Barra do Mendes";26
"290320 Barreiras";406
"290323 Barro Alto";23
"290330 Barro Preto";9
"290327 Barrocas";29
"290340 Belmonte";40
"290350 Belo Campo";44
"290360 Biritinga";14
"290380 Boa Vista do Tupim";14
"290390 Bom Jesus da Lapa";90
"290395 Bom Jesus da Serra";28
"290400 Boninal";24
"290405 Bonito";16
"290410 Boquira";26
"290420 Botuporã";16
"290430 Brejões";19
"290440 Brejolândia";35
"290450 Brotas de Macaúbas";15
"290460 Brumado";112
"290475 Buritirama";19
"290480 Caatiba";14
"290485 Cabaceiras do Paraguaçu";4
"290490 Cachoeira";83
"290500 Caculé";51
"290510 Caém";36
"290520 Caetité";166
"290530 Cafarnaum";33
"290550 Caldeirão Grande";39
"290560 Camacan";85
"290570 Camaçari";421
"290580 Camamu";17
"290590 Campo Alegre de Lourdes";77
"290600 Campo Formoso";84
"290610 Canápolis";24
"290620 Canarana";36
"290630 Canavieiras";75
"290640 Candeal";7
"290650 Candeias";96
"290660 Candiba";37
"290670 Cândido Sales";55
"290680 Cansanção";46
"290682 Canudos";41
"290685 Capela do Alto Alegre";11
"290687 Capim Grosso";57
"290689 Caraíbas";3
"290690 Caravelas";57
"290710 Carinhanha";30
"290720 Casa Nova";41
"290730 Castro Alves";60
"290750 Catu";100
"290755 Caturama";8
"290760 Central";42
"290770 Chorrochó";15
"290780 Cícero Dantas";49
"290790 Cipó";30
"290800 Coaraci";43
"290810 Cocos";31
"290830 Conceição do Almeida";32
"290840 Conceição do Coité";214
"290850 Conceição do Jacuípe";95
"290860 Conde";15
"290870 Condeúba";16
"290890 Coração de Maria";32
"290900 Cordeiros";5
"290910 Coribe";36
"290930 Correntina";35
"290940 Cotegipe";29
"290950 Cravolândia";24
"290960 Crisópolis";23
"290970 Cristópolis";69
"290980 Cruz das Almas";85
"290990 Curaçá";26
"291005 Dias d'Ávila";110
"291010 Dom Basílio";14
"291030 Elísio Medrado";12
"291040 Encruzilhada";49
"291050 Entre Rios";65
"290050 Érico Cardoso";15
"291060 Esplanada";40
"291070 Euclides da Cunha";47
"291072 Eunápolis";260
"291077 Feira da Mata";6
"291080 Feira de Santana";1407
"291085 Filadélfia";31
"291110 Formosa do Rio Preto";29
"291120 Gandu";82
"291130 Gentio do Ouro";16
"291150 Gongogi";5
"291160 Governador Mangabeira";40
"291170 Guanambi";185
"291180 Guaratinga";32
"291190 Iaçu";34
"291200 Ibiassucê";29
"291210 Ibicaraí";32
"291230 Ibicuí";21
"291240 Ibipeba";44
"291250 Ibipitanga";14
"291260 Ibiquera";2
"291270 Ibirapitanga";30
"291280 Ibirapuã";23
"291290 Ibirataia";91
"291300 Ibitiara";62
"291310 Ibititá";32
"291320 Ibotirama";78
"291330 Ichu";22
"291340 Igaporã";29
"291345 Igrapiúna";8
"291350 Iguaí";84
"291360 Ilhéus";662
"291370 Inhambupe";38
"291380 Ipecaetá";12
"291390 Ipiaú";124
"291400 Ipirá";44
"291410 Ipupiara";24
"291420 Irajuba";29
"291430 Iramaia";16
"291440 Iraquara";47
"291450 Irará";30
"291460 Irecê";175
"291465 Itabela";46
"291470 Itaberaba";111
"291480 Itabuna";575
"291490 Itacaré";61
"291500 Itaeté";15
"291510 Itagi";8
"291520 Itagibá";5
"291530 Itagimirim";20
"291535 Itaguaçu da Bahia";24
"291540 Itaju do Colônia";12
"291550 Itajuípe";60
"291560 Itamaraju";84
"291580 Itambé";50
"291600 Itanhém";54
"291610 Itaparica";52
"291630 Itapebi";12
"291640 Itapetinga";89
"291650 Itapicuru";54
"291660 Itapitanga";16
"291670 Itaquara";19
"291680 Itarantim";30
"291685 Itatim";20
"291690 Itiruçu";85
"291700 Itiúba";45
"291710 Itororó";45
"291720 Ituaçu";24
"291730 Ituberá";33
"291733 Iuiú";14
"291735 Jaborandi";30
"291740 Jacaraci";29
"291750 Jacobina";203
"291760 Jaguaquara";117
"291770 Jaguarari";32
"291800 Jequié";597
"291810 Jeremoabo";34
"291820 Jiquiriçá";29
"291830 Jitaúna";14
"291835 João Dourado";32
"291840 Juazeiro";526
"291845 Jucuruçu";24
"291850 Jussara";31
"291855 Jussari";37
"291860 Jussiape";12
"291875 Lagoa Real";17
"291880 Laje";41
"291905 Lajedo do Tabocal";27
"291915 Lapão";50
"291920 Lauro de Freitas";551
"291930 Lençóis";14
"291940 Licínio de Almeida";20
"291950 Livramento de Nossa Senhora";89
"291955 Luís Eduardo Magalhães";122
"291960 Macajuba";20
"291970 Macarani";27
"291980 Macaúbas";76
"291990 Macururé";20
"291992 Madre de Deus";28
"292000 Maiquinique";14
"292010 Mairi";27
"292020 Malhada";21
"292050 Maracás";58
"292060 Maragogipe";15
"292080 Marcionílio Souza";19
"292100 Mata de São João";78
"292105 Matina";21
"292110 Medeiros Neto";32
"292120 Miguel Calmon";87
"292130 Milagres";21
"292140 Mirangaba";20
"292150 Monte Santo";60
"292160 Morpará";2
"292170 Morro do Chapéu";56
"292180 Mortugaba";24
"292190 Mucugê";32
"292200 Mucuri";97
"292205 Mulungu do Morro";34
"292210 Mundo Novo";32
"292230 Muritiba";40
"292240 Mutuípe";45
"292250 Nazaré";50
"292265 Nordestina";30
"292270 Nova Canaã";30
"292273 Nova Fátima";5
"292290 Nova Soure";7
"292300 Nova Viçosa";61
"292310 Olindina";23
"292320 Oliveira dos Brejinhos";13
"292330 Ouriçangas";15
"292335 Ourolândia";17
"292340 Palmas de Monte Alto";54
"292360 Paramirim";88
"292370 Paratinga";36
"292380 Paripiranga";21
"292390 Pau Brasil";13
"292400 Paulo Afonso";174
"292405 Pé de Serra";8
"292430 Piatã";26
"292440 Pilão Arcado";30
"292450 Pindaí";24
"292460 Pindobaçu";58
"292465 Pintadas";11
"292470 Piripá";17
"292480 Piritiba";25
"292490 Planaltino";27
"292500 Planalto";59
"292510 Poções";68
"292520 Pojuca";147
"292525 Ponto Novo";29
"292530 Porto Seguro";179
"292540 Potiraguá";21
"292550 Prado";42
"292560 Presidente Dutra";17
"292575 Presidente Tancredo Neves";17
"292580 Queimadas";50
"292590 Quijingue";17
"292595 Rafael Jambeiro";22
"292600 Remanso";101
"292610 Retirolândia";24
"292620 Riachão das Neves";29
"292630 Riachão do Jacuípe";121
"292640 Riacho de Santana";59
"292650 Ribeira do Amparo";5
"292660 Ribeira do Pombal";95
"292670 Rio de Contas";17
"292690 Rio do Pires";27
"292700 Rio Real";55
"292720 Ruy Barbosa";120
"292730 Salinas da Margarida";9
"292740 Salvador";8646
"292750 Santa Bárbara";13
"292770 Santa Cruz Cabrália";22
"292790 Santa Inês";23
"292810 Santa Maria da Vitória";55
"292840 Santa Rita de Cássia";24
"292850 Santa Teresinha";28
"292800 Santaluz";126
"292820 Santana";36
"292830 Santanópolis";13
"292860 Santo Amaro";89
"292870 Santo Antônio de Jesus";328
"292880 Santo Estêvão";112
"292890 São Desidério";24
"292895 São Domingos";20
"292910 São Felipe";18
"292900 São Félix";90
"292905 São Félix do Coribe";49
"292920 São Francisco do Conde";35
"292925 São Gabriel";34
"292930 São Gonçalo dos Campos";36
"292940 São Miguel das Matas";30
"292950 São Sebastião do Passé";53
"292960 Sapeaçu";27
"292970 Sátiro Dias";25
"292975 Saubara";13
"292980 Saúde";39
"292990 Seabra";95
"293000 Sebastião Laranjeiras";20
"293010 Senhor do Bonfim";162
"293020 Sento Sé";32
"293015 Serra do Ramalho";31
"293030 Serra Dourada";45
"293040 Serra Preta";25
"293050 Serrinha";224
"293060 Serrolândia";33
"293070 Simões Filho";55
"293075 Sítio do Mato";18
"293077 Sobradinho";54
"293080 Souto Soares";12
"293090 Tabocas do Brejo Velho";32
"293105 Tanque Novo";30
"293110 Tanquinho";20
"293120 Taperoá";26
"293130 Tapiramutá";33
"293135 Teixeira de Freitas";289
"293150 Teofilândia";18
"293160 Teolândia";24
"293180 Tremedal";19
"293190 Tucano";58
"293200 Uauá";24
"293210 Ubaíra";71
"293220 Ubaitaba";100
"293230 Ubatã";37
"293240 Uibaí";30
"293245 Umburanas";5
"293250 Una";47
"293260 Urandi";34
"293280 Utinga";24
"293290 Valença";121
"293300 Valente";64
"293305 Várzea da Roça";21
"293310 Várzea do Poço";30
"293315 Várzea Nova";20
"293320 Vera Cruz";13
"293325 Vereda";12
"293330 Vitória da Conquista";845
"293340 Wagner";40
"293345 Wanderley";28
"293350 Wenceslau Guimarães";44
"293360 Xique-Xique";93
"310010 Abadia dos Dourados";17
"310020 Abaeté";46
"310030 Abre Campo";66
"310060 Água Boa";13
"310090 Águas Formosas";65
"310100 Águas Vermelhas";47
"310110 Aimorés";53
"310120 Aiuruoca";30
"310130 Alagoa";17
"310150 Além Paraíba";83
"310160 Alfenas";453
"310170 Almenara";77
"310190 Alpinópolis";44
"310200 Alterosa";30
"310210 Alto Rio Doce";17
"310230 Alvinópolis";35
"310260 Andradas";65
"310280 Andrelândia";49
"310290 Antônio Carlos";12
"310340 Araçuaí";92
"310350 Araguari";170
"310375 Araporã";13
"310400 Araxá";324
"310410 Arceburgo";8
"310420 Arcos";64
"310430 Areado";14
"310450 Arinos";27
"310470 Ataléia";35
"310490 Baependi";59
"310510 Bambuí";174
"310540 Barão de Cocais";34
"310560 Barbacena";1137
"310590 Barroso";49
"310620 Belo Horizonte";8940
"310630 Belo Oriente";50
"310640 Belo Vale";31
"310650 Berilo";40
"310670 Betim";754
"310690 Bicas";35
"310710 Boa Esperança";71
"310730 Bocaiúva";64
"310740 Bom Despacho";76
"310750 Bom Jardim de Minas";29
"310780 Bom Jesus do Galho";50
"310800 Bom Sucesso";66
"310820 Bonfinópolis de Minas";7
"310830 Borda da Mata";8
"310840 Botelhos";19
"310860 Brasília de Minas";115
"310890 Brazópolis";24
"310900 Brumadinho";48
"310910 Bueno Brandão";25
"310930 Buritis";31
"310940 Buritizeiro";31
"310950 Cabo Verde";42
"310270 Cachoeira de Pajeú";26
"310990 Caetanópolis";44
"311000 Caeté";56
"311030 Caldas";39
"311050 Camanducaia";27
"311060 Cambuí";49
"311070 Cambuquira";36
"311090 Campanha";22
"311100 Campestre";40
"311110 Campina Verde";41
"311120 Campo Belo";108
"311130 Campo do Meio";25
"311150 Campos Altos";38
"311160 Campos Gerais";51
"311180 Canápolis";25
"311200 Candeias";22
"311230 Capelinha";55
"311260 Capinópolis";19
"311270 Capitão Enéas";20
"311280 Capitólio";22
"311300 Caraí";42
"311320 Carandaí";47
"311330 Carangola";213
"311340 Caratinga";200
"311350 Carbonita";21
"311360 Careaçu";20
"311370 Carlos Chagas";46
"311380 Carmésia";10
"311390 Carmo da Cachoeira";37
"311400 Carmo da Mata";26
"311410 Carmo de Minas";49
"311430 Carmo do Paranaíba";48
"311440 Carmo do Rio Claro";30
"311450 Carmópolis de Minas";38
"311460 Carrancas";19
"311510 Cássia";47
"311530 Cataguases";121
"311550 Caxambu";33
"311570 Central de Minas";22
"311580 Centralina";19
"311615 Chapada Gaúcha";17
"311630 Cipotânea";14
"311660 Cláudio";44
"311680 Coluna";38
"311710 Conceição da Aparecida";19
"311730 Conceição das Alagoas";22
"311750 Conceição do Mato Dentro";43
"311770 Conceição do Rio Verde";32
"311800 Congonhas";65
"311820 Conquista";15
"311830 Conselheiro Lafaiete";255
"311840 Conselheiro Pena";50
"311860 Contagem";539
"311880 Coração de Jesus";33
"311930 Coromandel";31
"311940 Coronel Fabriciano";103
"312020 Cristais";19
"312050 Cristina";33
"312080 Cruzília";66
"312090 Curvelo";180
"312100 Datas";21
"312120 Delfinópolis";19
"312160 Diamantina";205
"312180 Dionísio";9
"312200 Divino";42
"312210 Divino das Laranjeiras";21
"312230 Divinópolis";675
"312235 Divisa Alegre";1
"312240 Divisa Nova";7
"312260 Dom Joaquim";19
"312270 Dom Silvério";27
"312320 Dores do Indaiá";40
"312360 Elói Mendes";36
"312390 Entre Rios de Minas";49
"312400 Ervália";22
"312410 Esmeraldas";40
"312420 Espera Feliz";47
"312430 Espinosa";40
"312450 Estiva";25
"312470 Estrela do Indaiá";21
"312480 Estrela do Sul";4
"312490 Eugenópolis";30
"312510 Extrema";48
"312560 Felisburgo";42
"312590 Ferros";25
"312595 Fervedouro";19
"312610 Formiga";85
"312620 Formoso";10
"312650 Francisco Badaró";11
"312670 Francisco Sá";50
"312690 Frei Inocêncio";16
"312710 Frutal";80
"312760 Gouveia";26
"312770 Governador Valadares";588
"312780 Grão Mogol";48
"312800 Guanhães";88
"312810 Guapé";29
"312820 Guaraciaba";23
"312830 Guaranésia";39
"312860 Guarda-Mor";16
"312870 Guaxupé";93
"312910 Gurinhatã";10
"312940 Ibertioga";48
"312950 Ibiá";39
"312970 Ibiraci";12
"312980 Ibirité";113
"313030 Iguatama";28
"313050 Ilicínea";30
"313090 Inhapim";48
"313120 Ipanema";50
"313130 Ipatinga";602
"313150 Ipuiúna";18
"313170 Itabira";242
"313180 Itabirinha";20
"313190 Itabirito";70
"313210 Itacarambi";41
"313220 Itaguara";45
"313230 Itaipé";28
"313240 Itajubá";176
"313250 Itamarandiba";91
"313270 Itambacuri";85
"313290 Itamogi";24
"313300 Itamonte";47
"313310 Itanhandu";75
"313320 Itanhomi";20
"313330 Itaobim";63
"313350 Itapecerica";54
"313375 Itaú de Minas";34
"313380 Itaúna";110
"313420 Ituiutaba";227
"313440 Iturama";83
"313460 Jaboticatubas";31
"313470 Jacinto";38
"313480 Jacuí";12
"313490 Jacutinga";37
"313505 Jaíba";25
"313510 Janaúba";156
"313520 Januária";66
"313540 Jeceaba";34
"313580 Jequitinhonha";81
"313600 Joaíma";33
"313620 João Monlevade";136
"313630 João Pinheiro";65
"313650 Jordânia";27
"313665 Juatuba";14
"313670 Juiz de Fora";2410
"313690 Juruaia";14
"313700 Ladainha";21
"313710 Lagamar";9
"313720 Lagoa da Prata";54
"313750 Lagoa Formosa";19
"313760 Lagoa Santa";77
"313770 Lajinha";50
"313780 Lambari";50
"313790 Lamim";8
"313800 Laranjal";23
"313820 Lavras";272
"313840 Leopoldina";122
"313860 Lima Duarte";35
"313880 Luz";47
"313890 Machacalis";44
"313900 Machado";56
"313920 Malacacheta";32
"313930 Manga";38
"313940 Manhuaçu";195
"313950 Manhumirim";95
"313960 Mantena";82
"313980 Mar de Espanha";38
"313990 Maria da Fé";16
"314000 Mariana";67
"314050 Martinho Campos";18
"314070 Mateus Leme";62
"314090 Matipó";41
"314100 Mato Verde";4
"314110 Matozinhos";62
"314120 Matutina";10
"314140 Medina";56
"314150 Mendes Pimentel";18
"314160 Mercês";20
"314180 Minas Novas";61
"314190 Minduri";20
"314200 Mirabela";30
"314220 Miraí";48
"314240 Moema";13
"314260 Monsenhor Paulo";44
"314270 Montalvânia";30
"314280 Monte Alegre de Minas";22
"314290 Monte Azul";39
"314300 Monte Belo";18
"314310 Monte Carmelo";146
"314320 Monte Santo de Minas";50
"314330 Montes Claros";898
"314350 Morada Nova de Minas";20
"314370 Morro do Pilar";1
"314390 Muriaé";569
"314400 Mutum";50
"314410 Muzambinho";50
"314430 Nanuque";75
"314450 Nazareno";15
"314460 Nepomuceno";34
"314470 Nova Era";43
"314480 Nova Lima";259
"314500 Nova Ponte";23
"314510 Nova Resende";18
"314520 Nova Serrana";57
"314530 Novo Cruzeiro";39
"314560 Oliveira";105
"314590 Ouro Branco";103
"314600 Ouro Fino";50
"314610 Ouro Preto";152
"314630 Padre Paraíso";40
"314650 Pains";18
"314670 Palma";28
"314710 Pará de Minas";116
"314700 Paracatu";266
"314720 Paraguaçu";33
"314730 Paraisópolis";34
"314760 Passa Quatro";49
"314770 Passa Tempo";30
"314750 Passabém";17
"314790 Passos";345
"314800 Patos de Minas";370
"314810 Patrocínio";152
"314860 Peçanha";34
"314870 Pedra Azul";65
"314910 Pedralva";17
"314920 Pedrinópolis";14
"314930 Pedro Leopoldo";59
"314980 Perdizes";28
"314990 Perdões";50
"315030 Piedade do Rio Grande";14
"315050 Pimenta";12
"315080 Piranga";26
"315110 Pirapetinga";32
"315120 Pirapora";141
"315140 Pitangui";50
"315150 Piumhi";90
"315160 Planura";6
"315170 Poço Fundo";49
"315180 Poços de Caldas";497
"315190 Pocrane";18
"315200 Pompéu";32
"315210 Ponte Nova";262
"315220 Porteirinha";46
"315240 Poté";33
"315250 Pouso Alegre";369
"315260 Pouso Alto";27
"315270 Prados";31
"315280 Prata";30
"315290 Pratápolis";16
"315300 Pratinha";2
"315310 Presidente Bernardes";18
"315340 Presidente Olegário";18
"315400 Raul Soares";56
"315410 Recreio";34
"315420 Resende Costa";49
"315430 Resplendor";65
"315460 Ribeirão das Neves";146
"315470 Ribeirão Vermelho";12
"315480 Rio Acima";6
"315490 Rio Casca";40
"315520 Rio Espera";18
"315540 Rio Novo";39
"315550 Rio Paranaíba";19
"315560 Rio Pardo de Minas";40
"315570 Rio Piracicaba";38
"315580 Rio Pomba";61
"315590 Rio Preto";17
"315600 Rio Vermelho";32
"315660 Rubim";35
"315670 Sabará";108
"315680 Sabinópolis";42
"315690 Sacramento";51
"315700 Salinas";161
"315710 Salto da Divisa";15
"315720 Santa Bárbara";50
"315770 Santa Juliana";30
"315780 Santa Luzia";157
"315790 Santa Margarida";31
"315800 Santa Maria de Itabira";13
"315810 Santa Maria do Salto";6
"315820 Santa Maria do Suaçuí";41
"315920 Santa Rita de Caldas";43
"315930 Santa Rita de Jacutinga";18
"315960 Santa Rita do Sapucaí";48
"315980 Santa Vitória";39
"315990 Santo Antônio do Amparo";40
"316030 Santo Antônio do Jacinto";8
"316040 Santo Antônio do Monte";50
"316070 Santos Dumont";75
"316100 São Domingos do Prata";40
"316110 São Francisco";55
"312550 São Gonçalo do Rio Preto";8
"316200 São Gonçalo do Sapucaí";47
"316210 São Gotardo";51
"316220 São João Batista do Glória";23
"316240 São João da Ponte";31
"316250 São João del Rei";207
"316257 São João do Manteninha";12
"316270 São João do Paraíso";48
"316280 São João Evangelista";52
"316290 São João Nepomuceno";56
"316292 São Joaquim de Bicas";21
"316370 São Lourenço";101
"316390 São Pedro da União";8
"316420 São Romão";18
"316430 São Roque de Minas";10
"316470 São Sebastião do Paraíso";319
"316500 São Tiago";45
"316510 São Tomás de Aquino";1
"316530 São Vicente de Minas";30
"316570 Senador Firmino";20
"316680 Serra do Salitre";33
"316690 Serrania";14
"316710 Serro";56
"316720 Sete Lagoas";342
"316800 Taiobeiras";101
"316840 Tarumirim";52
"316850 Teixeiras";15
"316860 Teófilo Otoni";322
"316870 Timóteo";69
"316890 Tiros";14
"316920 Tombos";50
"316930 Três Corações";137
"316935 Três Marias";34
"316940 Três Pontas";126
"316960 Tupaciguara";15
"316970 Turmalina";56
"316990 Ubá";315
"317005 Ubaporanga";2
"317010 Uberaba";905
"317020 Uberlândia";1445
"317040 Unaí";148
"317043 União de Minas";34
"317052 Urucuia";30
"317070 Varginha";331
"317080 Várzea da Palma";66
"317090 Varzelândia";23
"317100 Vazante";47
"317120 Vespasiano";75
"317130 Viçosa";245
"317160 Virgem da Lapa";39
"317170 Virgínia";27
"317180 Virginópolis";49
"317200 Visconde do Rio Branco";82
"320010 Afonso Cláudio";58
"320020 Alegre";50
"320040 Anchieta";224
"320050 Apiacá";16
"320060 Aracruz";160
"320070 Atilio Vivacqua";10
"320080 Baixo Guandu";51
"320090 Barra de São Francisco";86
"320100 Boa Esperança";39
"320120 Cachoeiro de Itapemirim";585
"320130 Cariacica";350
"320140 Castelo";55
"320150 Colatina";491
"320160 Conceição da Barra";16
