"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"110001 Alta Floresta D'Oeste",0,0,4,0,0,0,0,0,1,5
"110037 Alto Alegre dos Parecis",0,1,0,0,0,0,0,0,2,3
"110040 Alto Paraíso",0,0,2,0,2,0,0,0,1,5
"110034 Alvorada D'Oeste",1,0,1,0,0,0,0,0,3,5
"110002 Ariquemes",3,2,10,0,1,0,1,0,9,26
"110045 Buritis",0,0,1,0,0,0,2,0,2,5
"110003 Cabixi",0,0,2,0,0,0,0,0,0,2
"110060 Cacaulândia",0,0,1,0,0,0,0,0,0,1
"110004 Cacoal",9,3,73,0,9,0,0,0,3,97
"110080 Candeias do Jamari",3,0,4,0,3,0,0,0,1,11
"110090 Castanheiras",0,0,0,0,0,0,0,0,1,1
"110005 Cerejeiras",0,0,4,0,1,0,0,0,1,6
"110092 Chupinguaia",0,0,1,0,0,0,0,0,0,1
"110006 Colorado do Oeste",1,0,2,0,0,0,0,0,0,3
"110007 Corumbiara",0,0,1,0,0,0,0,0,0,1
"110008 Costa Marques",0,0,1,0,0,0,0,0,2,3
"110094 Cujubim",0,0,1,0,0,0,0,0,0,1
"110009 Espigão D'Oeste",0,1,1,0,0,0,1,0,0,3
"110100 Governador Jorge Teixeira",0,0,1,0,0,0,0,0,0,1
"110010 Guajará0Mirim",1,0,1,0,0,0,0,0,0,2
"110110 Itapuã do Oeste",1,0,1,0,0,0,1,0,1,4
"110011 Jaru",0,2,13,1,1,1,0,0,1,19
"110012 Ji0Paraná",0,0,6,0,8,0,0,0,8,22
"110013 Machadinho D'Oeste",0,0,6,0,2,0,1,0,3,12
"110120 Ministro Andreazza",0,0,1,0,1,0,0,0,0,2
"110130 Mirante da Serra",0,1,0,0,0,0,0,0,0,1
"110014 Nova Brasilândia D'Oeste",0,0,4,0,0,0,0,0,1,5
"110033 Nova Mamoré",0,0,5,0,3,0,0,0,0,8
"110143 Nova União",0,0,1,0,1,1,0,0,0,3
"110050 Novo Horizonte do Oeste",0,0,0,0,0,0,0,0,1,1
"110015 Ouro Preto do Oeste",2,1,8,0,2,0,1,0,4,18
"110145 Parecis",0,0,0,0,0,0,0,0,1,1
"110018 Pimenta Bueno",0,1,11,0,7,2,0,0,0,21
"110020 Porto Velho",15,6,61,0,16,0,3,1,19,121
"110025 Presidente Médici",1,0,6,0,1,0,0,0,0,8
"110028 Rolim de Moura",3,0,0,0,1,0,0,0,7,11
"110029 Santa Luzia D'Oeste",1,0,0,0,0,0,0,0,2,3
"110148 São Felipe D'Oeste",0,0,0,0,0,0,0,0,1,1
"110149 São Francisco do Guaporé",0,0,2,0,1,0,0,0,1,4
"110032 São Miguel do Guaporé",0,1,2,0,1,0,0,1,3,8
"110150 Seringueiras",0,0,1,0,1,0,0,1,2,5
"110160 Theobroma",0,0,0,0,0,0,0,1,0,1
"110170 Urupá",0,1,1,0,0,0,0,0,1,3
"110180 Vale do Paraíso",0,0,1,0,0,0,0,0,0,1
"110030 Vilhena",1,4,15,0,3,0,7,0,0,30
"120001 Acrelândia",0,0,0,0,1,0,0,0,1,2
"120005 Assis Brasil",1,0,0,0,0,0,0,0,0,1
"120010 Brasiléia",0,0,1,0,0,0,0,0,3,4
"120013 Bujari",0,0,0,0,0,0,0,0,1,1
"120017 Capixaba",0,0,1,0,0,0,0,0,1,2
"120020 Cruzeiro do Sul",1,1,8,0,2,0,0,0,0,12
"120025 Epitaciolândia",0,0,0,0,0,0,0,0,2,2
"120030 Feijó",0,0,1,0,0,0,1,0,0,2
"120033 Mâncio Lima",0,0,1,0,0,0,0,0,0,1
"120034 Manoel Urbano",0,0,0,0,0,0,0,0,1,1
"120038 Plácido de Castro",0,0,0,0,0,0,0,0,2,2
"120080 Porto Acre",0,0,1,0,0,0,0,0,3,4
"120040 Rio Branco",8,4,25,0,6,0,0,1,20,64
"120050 Sena Madureira",0,0,0,0,3,0,0,0,2,5
"120045 Senador Guiomard",0,0,1,0,0,0,0,0,3,4
"120060 Tarauacá",1,0,0,0,0,0,0,0,1,2
"120070 Xapuri",0,0,0,0,0,0,0,0,4,4
"130010 Anori",0,0,1,0,0,0,0,0,0,1
"130014 Apuí",0,0,3,0,0,0,0,0,0,3
"130030 Autazes",0,0,0,0,2,0,0,0,1,3
"130050 Barreirinha",0,0,1,0,0,0,0,0,0,1
"130060 Benjamin Constant",1,0,0,0,0,0,0,0,0,1
"130070 Boca do Acre",0,0,4,0,1,0,0,0,0,5
"130080 Borba",0,0,1,0,0,0,0,0,0,1
"130100 Carauari",1,0,1,0,0,0,0,0,0,2
"130110 Careiro",4,0,2,0,0,0,0,0,0,6
"130120 Coari",0,0,3,0,0,0,0,0,3,6
"130130 Codajás",0,0,2,0,0,0,0,0,0,2
"130160 Fonte Boa",0,0,1,0,0,0,0,0,0,1
"130170 Humaitá",2,2,2,0,1,0,0,0,1,8
"130180 Ipixuna",1,0,0,0,0,0,0,0,0,1
"130185 Iranduba",3,0,8,0,2,0,0,0,0,13
"130190 Itacoatiara",1,0,12,0,1,0,0,0,1,15
"130200 Itapiranga",1,0,0,0,0,0,0,0,1,2
"130240 Lábrea",0,0,1,0,0,0,0,0,1,2
"130250 Manacapuru",1,0,3,0,2,0,0,0,3,9
"130255 Manaquiri",0,0,0,0,0,0,0,0,1,1
"130260 Manaus",78,10,144,0,24,0,1,0,13,270
"130270 Manicoré",0,0,0,0,1,0,1,0,0,2
"130310 Nova Olinda do Norte",1,0,0,0,0,0,0,0,0,1
"130320 Novo Airão",1,0,2,0,0,0,1,0,0,4
"130330 Novo Aripuanã",0,0,3,0,0,0,0,0,0,3
"130340 Parintins",1,0,6,0,0,0,0,0,1,8
"130353 Presidente Figueiredo",2,0,0,0,2,0,0,0,2,6
"130356 Rio Preto da Eva",2,0,3,0,0,0,0,0,1,6
"130360 Santa Isabel do Rio Negro",1,0,0,0,0,0,0,0,0,1
"130370 Santo Antônio do Içá",0,0,1,0,0,0,0,0,0,1
"130380 São Gabriel da Cachoeira",0,0,2,0,0,0,0,0,0,2
"130395 São Sebastião do Uatumã",1,0,1,0,0,0,0,0,0,2
"130406 Tabatinga",0,0,1,0,0,0,0,0,0,1
"130420 Tefé",1,1,2,0,0,0,0,0,0,4
"130430 Urucará",0,0,1,0,1,0,0,0,0,2
"140005 Alto Alegre",0,0,0,0,1,0,0,0,0,1
"140002 Amajari",0,0,1,0,1,0,0,0,0,2
"140010 Boa Vista",14,16,47,0,10,2,0,0,3,92
"140015 Bonfim",2,0,3,0,2,0,0,0,0,7
"140017 Cantá",1,0,3,0,1,0,0,0,0,5
"140020 Caracaraí",0,0,1,0,1,0,0,0,0,2
"140023 Caroebe",0,0,2,0,0,0,0,0,0,2
"140028 Iracema",0,0,0,0,1,0,0,0,0,1
"140030 Mucajaí",2,0,2,0,2,0,0,0,0,6
"140040 Normandia",0,0,2,0,0,0,0,0,0,2
"140045 Pacaraima",0,0,0,0,0,0,0,0,1,1
"140047 Rorainópolis",2,0,3,0,3,1,0,0,0,9
"140050 São João da Baliza",0,0,0,0,1,0,0,0,0,1
"140060 São Luiz",1,1,0,0,1,0,0,0,0,3
"150010 Abaetetuba",0,0,0,0,1,0,0,0,21,22
"150013 Abel Figueiredo",0,0,1,0,0,0,0,0,0,1
"150020 Acará",0,0,1,0,1,0,0,0,12,14
"150034 Água Azul do Norte",1,0,2,0,0,0,0,0,1,4
"150040 Alenquer",0,0,1,0,0,0,0,0,0,1
"150050 Almeirim",1,0,3,0,0,0,0,0,0,4
"150060 Altamira",3,0,43,0,5,0,1,0,5,57
"150080 Ananindeua",143,5,38,0,3,0,0,0,5,194
"150085 Anapu",0,0,4,0,1,0,0,0,1,6
"150090 Augusto Corrêa",0,0,1,0,0,0,0,0,0,1
"150095 Aurora do Pará",0,0,2,1,0,0,0,0,1,4
"150100 Aveiro",1,0,1,0,0,0,0,0,0,2
"150120 Baião",0,0,0,0,0,0,0,0,1,1
"150130 Barcarena",0,0,2,0,0,0,0,0,17,19
"150140 Belém",74,1,23,0,5,0,0,0,5,108
"150150 Benevides",12,0,1,0,0,0,0,0,0,13
"150157 Bom Jesus do Tocantins",0,0,2,0,1,0,0,0,0,3
"150160 Bonito",1,0,0,0,0,0,0,0,0,1
"150170 Bragança",0,0,2,0,0,0,0,0,3,5
"150172 Brasil Novo",0,0,4,0,0,0,0,0,1,5
"150178 Breu Branco",0,0,2,0,0,0,0,0,0,2
"150180 Breves",1,0,2,0,0,1,1,0,0,5
"150190 Bujaru",1,0,0,0,0,0,0,0,0,1
"150200 Cachoeira do Arari",0,0,2,0,0,0,0,0,0,2
"150195 Cachoeira do Piriá",0,0,1,0,0,0,0,0,1,2
"150210 Cametá",1,1,6,0,1,0,0,0,5,14
"150215 Canaã dos Carajás",0,0,6,0,4,0,1,0,0,11
"150220 Capanema",4,0,4,0,1,0,0,0,2,11
"150230 Capitão Poço",3,0,1,1,2,0,0,0,0,7
"150240 Castanhal",6,5,10,1,3,1,0,0,7,33
"150270 Conceição do Araguaia",0,0,4,0,0,0,0,0,1,5
"150275 Concórdia do Pará",0,0,0,0,1,0,0,0,2,3
"150276 Cumaru do Norte",0,0,0,0,0,0,1,0,0,1
"150277 Curionópolis",0,0,3,0,1,0,0,0,0,4
"150285 Curuá",0,0,1,0,0,0,0,0,0,1
"150290 Curuçá",2,0,4,0,1,0,0,0,1,8
"150293 Dom Eliseu",0,0,6,1,2,0,0,0,2,11
"150295 Eldorado do Carajás",1,1,8,0,2,1,0,0,2,15
"150304 Floresta do Araguaia",0,2,6,0,1,0,1,0,2,12
"150307 Garrafão do Norte",0,0,4,0,0,0,1,0,0,5
"150309 Goianésia do Pará",0,0,4,0,1,0,0,0,5,10
"150320 Igarapé0Açu",1,1,3,1,0,0,0,0,0,6
"150330 Igarapé0Miri",0,0,0,0,0,0,0,0,2,2
"150345 Ipixuna do Pará",1,0,0,0,0,0,0,0,1,2
"150350 Irituia",1,0,2,0,1,0,0,0,4,8
"150360 Itaituba",3,4,18,0,6,5,4,0,4,44
"150370 Itupiranga",0,0,2,0,2,0,0,0,2,6
"150375 Jacareacanga",0,0,0,0,0,2,1,0,1,4
"150380 Jacundá",0,0,2,0,0,0,0,0,4,6
"150390 Juruti",0,0,1,0,0,0,0,0,1,2
"150400 Limoeiro do Ajuru",0,0,2,0,0,0,0,0,0,2
"150405 Mãe do Rio",0,0,4,0,0,0,0,0,3,7
"150410 Magalhães Barata",0,0,3,0,0,0,0,0,0,3
"150420 Marabá",6,6,51,0,12,0,1,0,35,111
"150440 Marapanim",2,0,0,0,0,0,0,0,2,4
"150442 Marituba",8,0,1,0,0,0,0,0,0,9
"150445 Medicilândia",2,0,4,0,0,0,0,0,2,8
