"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"140040 Normandia",0,0,3,0,0,0,0,0,0,3
"140045 Pacaraima",0,0,1,0,0,0,0,0,2,3
"140047 Rorainópolis",1,0,6,0,5,1,0,0,0,13
"140060 São Luiz",0,0,1,0,0,0,0,0,0,1
"150010 Abaetetuba",0,0,0,0,0,0,0,0,14,14
"150013 Abel Figueiredo",0,0,2,0,0,0,2,0,0,4
"150020 Acará",0,0,0,0,0,0,0,0,8,8
"150034 Água Azul do Norte",0,0,5,0,0,0,0,0,1,6
"150040 Alenquer",2,0,1,0,0,0,0,0,1,4
"150050 Almeirim",1,0,2,0,0,0,0,0,0,3
"150060 Altamira",2,1,31,0,2,0,1,0,5,42
"150080 Ananindeua",75,2,42,0,6,0,0,0,80,205
"150085 Anapu",4,0,11,0,0,0,0,0,1,16
"150090 Augusto Corrêa",2,0,0,0,0,0,0,0,0,2
"150095 Aurora do Pará",0,0,3,0,2,0,0,0,2,7
"150120 Baião",0,0,1,0,0,0,0,0,1,2
"150130 Barcarena",1,0,0,0,1,0,0,0,19,21
"150140 Belém",51,3,19,0,7,0,0,1,13,94
"150145 Belterra",0,0,1,0,0,0,0,0,0,1
"150150 Benevides",0,0,3,0,1,0,0,0,0,4
"150157 Bom Jesus do Tocantins",0,0,2,0,0,0,0,0,1,3
"150160 Bonito",1,0,1,0,0,0,0,0,1,3
"150170 Bragança",2,1,1,0,0,0,0,0,6,10
"150172 Brasil Novo",0,0,1,0,0,0,0,0,0,1
"150175 Brejo Grande do Araguaia",0,0,0,0,0,0,0,0,1,1
"150178 Breu Branco",0,0,3,0,0,0,0,0,0,3
"150180 Breves",0,0,1,0,0,0,0,0,2,3
"150190 Bujaru",0,0,2,0,0,0,0,0,2,4
"150200 Cachoeira do Arari",0,0,1,0,0,0,0,0,1,2
"150195 Cachoeira do Piriá",0,0,0,0,0,0,0,0,1,1
"150210 Cametá",1,0,6,0,0,0,0,0,1,8
"150215 Canaã dos Carajás",0,0,3,0,2,0,0,0,1,6
"150220 Capanema",0,0,3,0,0,0,0,0,2,5
"150230 Capitão Poço",0,0,4,0,1,0,0,0,7,12
"150240 Castanhal",4,2,15,0,1,0,0,0,11,33
"150270 Conceição do Araguaia",0,0,2,0,4,0,0,0,3,9
"150275 Concórdia do Pará",0,0,1,0,0,0,0,0,0,1
"150276 Cumaru do Norte",0,0,1,0,0,0,1,0,1,3
"150277 Curionópolis",0,0,5,0,1,0,0,0,0,6
"150285 Curuá",0,0,3,0,0,0,0,0,0,3
"150290 Curuçá",1,0,2,0,0,0,0,0,2,5
"150293 Dom Eliseu",3,0,4,0,1,0,0,0,7,15
"150295 Eldorado do Carajás",0,0,8,0,1,0,0,0,1,10
"150304 Floresta do Araguaia",0,0,4,0,1,0,0,0,1,6
"150307 Garrafão do Norte",0,0,1,0,0,0,0,0,1,2
"150309 Goianésia do Pará",1,1,3,0,2,0,0,0,2,9
"150320 Igarapé0Açu",1,0,2,0,1,0,0,0,3,7
"150330 Igarapé0Miri",0,0,0,0,0,0,0,0,3,3
"150340 Inhangapi",0,1,0,0,0,0,0,0,0,1
"150345 Ipixuna do Pará",0,1,0,0,0,0,1,0,5,7
"150350 Irituia",1,0,0,0,1,0,0,1,8,11
"150360 Itaituba",4,3,20,0,3,1,1,0,3,35
"150370 Itupiranga",1,0,1,0,1,0,0,0,1,4
"150375 Jacareacanga",0,0,0,0,1,0,0,0,0,1
"150380 Jacundá",1,0,4,0,1,0,0,0,0,6
"150390 Juruti",0,0,5,0,0,0,0,0,0,5
"150405 Mãe do Rio",0,0,2,0,2,0,0,0,0,4
"150420 Marabá",11,4,50,0,18,0,1,0,18,102
"150430 Maracanã",0,0,0,0,0,0,0,0,1,1
"150440 Marapanim",0,0,4,0,0,0,0,0,0,4
"150442 Marituba",6,0,0,0,0,0,0,0,0,6
"150445 Medicilândia",0,0,3,0,0,0,0,0,0,3
"150460 Mocajuba",0,0,0,0,0,0,0,0,4,4
"150470 Moju",0,0,1,0,0,0,1,0,19,21
"150475 Mojuí dos Campos",0,0,1,0,0,0,0,0,0,1
"150480 Monte Alegre",1,0,3,0,0,0,0,0,0,4
"150495 Nova Esperança do Piriá",0,0,3,0,0,0,0,0,1,4
"150497 Nova Ipixuna",0,0,2,0,1,0,0,0,1,4
"150500 Nova Timboteua",3,0,0,0,3,0,0,0,0,6
"150503 Novo Progresso",1,0,11,0,4,0,3,0,2,21
"150506 Novo Repartimento",1,0,10,1,0,0,0,0,1,13
"150510 Óbidos",0,0,1,0,0,0,0,0,3,4
"150520 Oeiras do Pará",0,0,3,0,0,0,0,0,0,3
"150530 Oriximiná",1,0,4,0,0,0,0,0,0,5
"150540 Ourém",0,0,0,0,0,0,0,0,1,1
"150543 Ourilândia do Norte",2,1,10,1,0,0,0,0,2,16
"150548 Pacajá",5,0,8,0,1,0,0,0,3,17
"150549 Palestina do Pará",2,0,0,0,0,0,0,0,0,2
"150550 Paragominas",3,0,11,0,8,0,5,0,1,28
"150553 Parauapebas",3,0,17,0,4,0,0,0,2,26
"150560 Peixe0Boi",1,0,1,0,0,0,0,0,0,2
"150563 Piçarra",0,0,1,0,1,0,0,0,1,3
"150565 Placas",0,0,2,0,0,0,0,0,2,4
"150570 Ponta de Pedras",0,1,0,0,1,0,0,0,0,2
"150590 Porto de Moz",0,0,1,0,0,0,0,0,0,1
"150600 Prainha",0,0,2,0,0,0,0,0,0,2
"150610 Primavera",0,0,1,0,0,0,0,0,0,1
"150611 Quatipuru",0,0,0,0,0,0,0,0,1,1
"150613 Redenção",4,0,24,0,0,0,0,0,46,74
"150616 Rio Maria",1,0,3,0,0,0,1,0,3,8
"150618 Rondon do Pará",1,0,2,0,0,0,2,0,1,6
"150619 Rurópolis",1,0,4,0,0,0,0,0,1,6
"150620 Salinópolis",0,0,1,0,0,0,0,0,3,4
"150630 Salvaterra",0,0,5,0,0,0,0,0,0,5
"150635 Santa Bárbara do Pará",1,0,0,1,0,0,0,0,0,2
"150640 Santa Cruz do Arari",0,0,1,0,0,0,0,0,0,1
"150650 Santa Izabel do Pará",3,0,2,0,0,0,0,0,5,10
"150655 Santa Luzia do Pará",0,0,1,0,0,0,0,0,3,4
"150658 Santa Maria das Barreiras",0,0,4,0,0,0,0,0,1,5
"150660 Santa Maria do Pará",0,0,1,0,2,0,0,0,2,5
"150670 Santana do Araguaia",0,0,14,0,0,0,2,0,3,19
"150680 Santarém",0,0,30,0,1,0,0,0,3,34
"150690 Santarém Novo",0,0,1,0,0,0,0,0,0,1
"150700 Santo Antônio do Tauá",0,0,2,0,0,0,0,0,0,2
"150715 São Domingos do Araguaia",2,0,3,0,0,0,0,0,1,6
"150720 São Domingos do Capim",0,1,2,0,0,0,0,0,0,3
"150730 São Félix do Xingu",2,0,20,0,0,0,1,0,1,24
"150740 São Francisco do Pará",0,0,1,0,2,0,0,0,2,5
"150745 São Geraldo do Araguaia",2,0,2,0,1,0,0,0,0,5
"150747 São João de Pirabas",1,0,1,0,0,0,0,0,3,5
"150750 São João do Araguaia",0,0,1,0,1,0,0,0,0,2
"150760 São Miguel do Guamá",1,0,5,0,0,0,0,0,3,9
"150775 Sapucaia",0,0,1,0,1,0,0,0,0,2
"150780 Senador José Porfírio",0,2,0,0,0,0,0,0,2,4
"150790 Soure",0,0,3,0,0,0,0,0,0,3
"150795 Tailândia",4,0,13,0,0,0,0,0,7,24
"150796 Terra Alta",0,0,1,0,0,0,0,0,1,2
"150797 Terra Santa",0,1,0,0,0,0,0,0,0,1
"150800 Tomé0Açu",1,1,2,0,1,0,1,0,7,13
