ibge_cod,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes,a_pc1,a_pc2,b_pc1,b_pc2,c_pc1,c_pc2,cluster_a,cluster_b,cluster_c
110001,Norte,Rondônia,Alta Floresta D'Oeste,Médio porte,Não municipalizado,-0.1333543948350407,-0.4622298873900063,-0.7101010053641249,-0.3907817117824211,0.2114402753379097,0.6013066183531989,1.2899908128038013,0.3027705949824998,0.3791646331814952,0.9829629373358356,-0.11010062559953204,-0.2381144979485933,4,0.33992130106807905,-0.5315058049602991,0.3397747944833373,-0.2121357719498748,-0.46736698732769255,0.46833552055478733,2,1,3
110037,Norte,Rondônia,Alto Alegre dos Parecis,Menor porte,Não municipalizado,-0.43716225183125657,-0.4005802832294632,-0.7101010053641249,-0.3907817117824211,0.6797064791772359,1.3440365776106846,1.337044096200761,-0.15848041201308224,-0.8041084918582754,-0.1392294764880017,-0.11118479305623108,-0.8897529869256261,1.6666666666666667,0.20002951839927052,1.1133574513963242,0.17555214447627948,0.9733585777243025,-0.6985760434574599,0.07140905518341537,1,2,2
110040,Norte,Rondônia,Alto Paraíso,Médio porte,Não municipalizado,-0.06078640902710847,-0.17595141330636999,-0.7101010053641249,-0.3907817117824211,0.11778703457004429,0.8495550925334996,1.0581323969117429,-0.4490312291916257,-1.0068442400951083,-0.21729082959434343,-0.31951682053437336,-0.450894412716604,4,0.2931430015688439,-0.6405774844360858,0.5413842847800171,1.32032764224512,0.5492728010180739,0.18624105697606497,2,2,3
110034,Norte,Rondônia,Alvorada D'Oeste,Menor porte,Não municipalizado,-0.20985538765387923,-0.449061219991985,1.849485169839628,-0.3907817117824211,0.5626399282174045,1.7218660574820988,1.2814145986426204,0.47455628350965273,-0.4890556613806809,0.7396475350445583,-0.240055947226706,-0.21151700860259195,2.3333333333333335,0.37185682734550074,-1.0989211181780287,-0.20967850383414743,0.3925988685683384,0.30606445865428733,-0.4162591496336886,2,2,3
110002,Norte,Rondônia,Ariquemes,Maior porte,Municipalizado,0.29883964787317646,-0.3592179373028398,0.6377601981058075,0.21862529891301938,0.5311477395635948,2.5083653395544787,0.974272674201098,0.39861108534684875,0.06646426626663345,1.1915402939041362,-0.04264763495749131,0.5731089271044459,26.333333333333332,0.6529560853036754,0.57706341614675,-0.3846583431731893,1.4712548803269885,-1.0219009568910902,0.43294383110911927,2,3,1
110045,Norte,Rondônia,Buritis,Médio porte,Municipalizado,-0.434298401046108,-0.5134010827757832,-0.7101010053641249,-0.3907817117824211,1.1713859932085289,1.0834891202472117,1.4718954521007654,0.02789542437143498,-0.5602292139111484,0.5596559150757178,-0.2581265141572933,-0.57058311477361,5,1.2541162654133122,-0.18879856828820601,0.4771734985919469,0.8657112125989519,0.08656799797810633,0.4234072079253707,3,2,3
110060,Norte,Rondônia,Cacaulândia,Menor porte,Não municipalizado,-0.884047421227359,-0.6067808160104698,-0.7101010053641249,-0.3907817117824211,0.2114402753379095,0.9717667824908803,0.9750137121181439,1.3544850866564409,-0.7840929469831127,-0.387228070247484,-0.0622793726706936,-0.17162077458358996,0.3333333333333333,-0.4235341537358862,1.1823816383528507,0.06161024102766233,-0.4405135992369037,-0.40060498475231576,0.08352680938048199,3,3,3
110070,Norte,Rondônia,Campo Novo de Rondônia,Menor porte,Não municipalizado,-0.3439365560234239,-0.016462839577640182,-0.7101010053641249,-0.3907817117824211,-0.8421586833005751,1.5343517000213898,1.2519382138568589,-0.13244288085560654,-0.06585228700474642,-0.8970609595147625,-0.2092619952926792,-0.8764542422526254,2,-0.9508814765198425,0.497297082046866,-0.12355565085010824,0.6569554649975897,-1.253182786173694,0.20458771391790603,3,2,2
110080,Norte,Rondônia,Candeias do Jamari,Médio porte,Não municipalizado,0.25592452948674166,0.4426521207161109,-0.3444458374778745,-0.3907817117824211,-0.02938234377945826,0.23447202397805883,0.6048967499592759,-0.5465634270384595,-0.9738864208624836,-0.7920267804463305,-0.1799637893582739,-0.13172454056458796,6.333333333333333,0.15154966927251262,-0.583732553234195,0.6308572637131677,1.0811268006105654,0.6784770627375992,-0.1472183142999543,2,2,3
110005,Norte,Rondônia,Cerejeiras,Menor porte,Não municipalizado,0.429083409043551,-0.34091073631047536,0.9962897781050437,1.3883661218167154,-0.16317268773355165,1.736132692366576,0.7791689093797824,0.467855926336692,0.7236463474019594,1.408271133581032,0.25731809660819416,0.4401214803744393,4.333333333333333,0.11933866987256436,-1.160590351699883,-0.7553323362231428,-0.19528277615967476,1.350118007213509,-0.24696124469610534,2,3,1
110006,Norte,Rondônia,Colorado do Oeste,Menor porte,Não municipalizado,-0.1812430760559789,-0.5381368629070538,-0.7101010053641249,0.9435791634169312,0.2114402753379095,2.1979522464380072,0.8339269129487685,0.8629623983276571,0.41456011811224364,1.7278945620247046,-0.12037312270540265,0.3470302676634361,2.6666666666666665,-0.019392920576177475,0.7041845188590953,-1.0113413239699396,-0.2574831740717437,1.3922122742413805,-0.6846042944194973,3,3,1
110007,Norte,Rondônia,Corumbiara,Menor porte,Não municipalizado,0.48850093536429173,-0.19809176156186534,-0.7101010053641249,-0.3907817117824211,1.0543194422486972,0.6239426094789529,1.1055622702119983,0.33452886177031227,0.7152887910918745,0.6781960733000213,0.9202990021302548,-0.610479348792612,2,0.8969308792107096,0.8169073196054106,0.24318459744496038,-0.35229564800595836,0.38708369419435024,0.7552792862400591,1,1,3
