codigo,regiao,uf,nome,porte,snt,a1,a2,a3,a4,a5,b1,b2,b3,b4,c1,c2,c3,media_mortes
110092,Norte,Rondônia,Chupinguaia,Menor porte,Não municipalizado,0,0,0,0,0,19.37356635718187,0.5186477059297022,87.16875871687587,1403.4170153417015,324.8779637377964,26565.463737796374,0.652,0
110145,Norte,Rondônia,Parecis,Menor porte,Não municipalizado,0,0,0,0,0,18.38517717067893,0.5779253960143076,129.07389480477573,1097.1281058405937,315.7470151661826,17309.293320425943,0.617,0
110148,Norte,Rondônia,São Felipe D'Oeste,Menor porte,Não municipalizado,0,0,0,0,0,15.306512189015091,0.5868378812199037,138.1760757994473,1717.3312277931307,614.8835373075405,17613.501776549547,0.649,0
120005,Norte,Acre,Assis Brasil,Menor porte,Não municipalizado,0,0,0,0,0,9.507253886010362,0.7017089590885551,159.27794000530926,1898.0621183966018,256.3047517918768,12351.207857711706,0.588,0
120025,Norte,Acre,Epitaciolândia,Menor porte,Não municipalizado,0,0,0,0,0,10.796789868944192,0.4836342286804638,0,764.8694908001711,364.4094993581515,22633.87890457852,0.653,0
120035,Norte,Acre,Marechal Thaumaturgo,Menor porte,Não municipalizado,0,0,0,0,0,7.271739130434782,0.816,67.36100316078554,1196.9532100108813,19.431058604072753,10116.430903155604,0.501,0
120043,Norte,Acre,Santa Rosa do Purus,Menor porte,Não municipalizado,0,0,0,0,0,8.3659793814433,0.7333333333333333,238.2015780854548,1444.0970671430698,29.030817329164808,11195.17641804377,0.517,0
130002,Norte,Amazonas,Alvarães,Menor porte,Não municipalizado,0,0,0,0,0,9.793462109955424,0.9137931034482759,215.7829839704069,1596.794081381011,46.48581997533908,12086.683107274968,0.527,0
130008,Norte,Amazonas,Anamã,Menor porte,Não municipalizado,0,0,0,0,0,8.552486187845304,0.8743961352657005,143.30753797649754,1676.6981943250214,14.832330180567498,8729.14875322442,0.594,0
130010,Norte,Amazonas,Anori,Médio porte,Não municipalizado,0,0,0,0,0,9.016806722689076,0.819047619047619,107.09130697955952,866.0427433999162,24.444754854029892,9291.055547795317,0.561,0
130020,Norte,Amazonas,Atalaia do Norte,Médio porte,Não municipalizado,0,0,0,0,0,10.319722931097338,0.8805394990366089,156.87812530640258,1661.9276399647022,25.44367094813217,7401.5099519560745,0.45,0
130040,Norte,Amazonas,Barcelos,Médio porte,Não municipalizado,0,0,0,0,0,10.084581497797357,0.7994722955145118,108.54620450104929,1649.902308415949,41.13901150589768,6886.026485273898,0.5,0
130063,Norte,Amazonas,Beruri,Médio porte,Não municipalizado,0,0,0,0,0,9.900423728813559,0.8372093023255814,64.69914895734833,910.7649430149803,21.400487732045985,8280.19708356144,0.506,0
130083,Norte,Amazonas,Caapiranga,Médio porte,Não municipalizado,0,0,0,0,0,8.773333333333333,0.7258064516129032,0,0,0,0,0.569,0
130160,Norte,Amazonas,Fonte Boa,Menor porte,Não municipalizado,0,0,0,0,0,9.960247349823321,0.9309309309309309,341.0761540723317,2946.1922963834168,97.9123787121435,11003.293149073801,0.53,0
130165,Norte,Amazonas,Guajará,Médio porte,Não municipalizado,0,0,0,0,0,8.601459854014598,0.486284289276808,0,0,0,0,0.532,0
130195,Norte,Amazonas,Itamarati,Menor porte,Não municipalizado,0,0,0,0,0,10.603243243243243,0.8877887788778878,191.9631430765293,1638.0854875863834,38.77655490145892,13091.630406961864,0.477,0
130210,Norte,Amazonas,Japurá,Menor porte,Não municipalizado,0,0,0,0,0,8.2015503875969,0.896,888.494002665482,8218.569524655708,166.59262549977788,28489.56019546868,0.522,0
130220,Norte,Amazonas,Juruá,Menor porte,Não municipalizado,0,0,0,0,0,9.348695962843873,0.905587668593449,132.39772275916854,1072.4215543492653,34.35720905600424,7712.101151860188,0.522,0
130255,Norte,Amazonas,Manaquiri,Médio porte,Não municipalizado,0,0,0,0,0,10.68421052631579,0.6662576687116565,0,0,0,0,0.596,0
130300,Norte,Amazonas,Nhamundá,Médio porte,Não municipalizado,0,0,0,0,0,10.945726832563901,0.9306759098786829,121.25169052837755,2023.9705265121484,26.908548244182253,7793.638949773819,0.586,0
130370,Norte,Amazonas,Santo Antônio do Içá,Médio porte,Não municipalizado,0,0,0,0,0,9.300161812297734,0.9146868250539957,117.68582591912632,1887.6806477427858,43.590829920444385,8917.007955561832,0.49,0
130395,Norte,Amazonas,São Sebastião do Uatumã,Menor porte,Não municipalizado,0,0,0,0,0,12.033319167454723,0.8662420382165605,139.35340022296546,1205.406911928651,21.878483835005575,8540.273132664437,0.577,0
130423,Norte,Amazonas,Tonantins,Menor porte,Não municipalizado,0,0,0,0,0,9.802578565672844,0.949317738791423,174.6308937926655,1571.6780441339895,27.14716621685982,7812.827432925861,0.548,0
130426,Norte,Amazonas,Uarini,Menor porte,Não municipalizado,0,0,0,0,0,9.796161482461946,0.9284497444633731,146.09203798392988,1745.799853907962,42.87801314828342,14474.872169466764,0.527,0
150030,Norte,Pará,Afuá,Médio porte,Não municipalizado,0,0,0,0,0,7.923076923076923,0.3076923076923077,75.82075972401243,581.2924912174286,0.32855662547072056,9362.827608865975,0.489,0
150100,Norte,Pará,Aveiro,Menor porte,Não municipalizado,0,0,0,0,0,9.114093959731544,0.785234899328859,0,768.1053401609363,18.16630090221897,7535.905876615459,0.541,0
150125,Norte,Pará,Bannach,Menor porte,Não municipalizado,0,0,0,0,0,10.164071856287425,0.6395209580838324,306.5603923973023,2391.1710606989577,255.97792765174736,24890.251379521767,0.594,0
